Name,KOI
Kepler-1 b,K00001.01
Kepler-10 b,K00072.01
Kepler-10 c,K00072.02
Kepler-100 b,K00041.02
Kepler-100 c,K00041.01
Kepler-100 d,K00041.03
Kepler-1000 b,K01888.01
Kepler-1001 b,K01889.01
Kepler-1001 c,K01889.02
Kepler-1002 b,K01890.01
Kepler-1003 b,K01893.01
Kepler-1004 b,K01894.01
Kepler-1005 b,K01898.01
Kepler-1006 b,K01899.01
Kepler-1007 b,K01900.01
Kepler-1008 A b,K01904.01
Kepler-1009 b,K01907.01
Kepler-101 b,K00046.01
Kepler-101 c,K00046.02
Kepler-1010 b,K01910.01
Kepler-1011 b,K01911.01
Kepler-1012 b,K01913.01
Kepler-1013 b,K01914.01
Kepler-1014 b,K01920.01
Kepler-1015 b,K01921.01
Kepler-1016 b,K01922.01
Kepler-1016 c,K01922.03
Kepler-1017 b,K01923.01
Kepler-1018 b,K01933.01
Kepler-1019 b,K01937.01
Kepler-102 b,K00082.05
Kepler-102 c,K00082.04
Kepler-102 d,K00082.02
Kepler-102 e,K00082.01
Kepler-102 f,K00082.03
Kepler-1020 b,K01938.01
Kepler-1021 b,K01939.01
Kepler-1022 b,K01940.01
Kepler-1023 b,K01945.01
Kepler-1024 b,K01950.01
Kepler-1025 b,K01951.01
Kepler-1026 b,K01959.01
Kepler-1027 A b,K01961.01
Kepler-1028 b,K01965.01
Kepler-1029 b,K01967.01
Kepler-103 b,K00108.01
Kepler-103 c,K00108.02
Kepler-1030 b,K01971.01
Kepler-1031 b,K01972.02
Kepler-1032 b,K01973.01
Kepler-1033 b,K01975.01
Kepler-1034 b,K01976.01
Kepler-1035 b,K01979.01
Kepler-1036 b,K01980.01
Kepler-1037 b,K01981.01
Kepler-1038 b,K01986.01
Kepler-1039 b,K01988.01
Kepler-104 A b,K00111.01
Kepler-104 A c,K00111.02
Kepler-104 A d,K00111.03
Kepler-1040 b,K01989.01
Kepler-1041 b,K01990.01
Kepler-1042 b,K01996.01
Kepler-1043 b,K01997.01
Kepler-1044 b,K01998.01
Kepler-1045 b,K02000.01
Kepler-1046 b,K02002.01
Kepler-1047 b,K02004.01
Kepler-1047 c,K02004.02
Kepler-1048 b,K02005.01
Kepler-1049 b,K02006.01
Kepler-105 b,K00115.01
Kepler-105 c,K00115.02
Kepler-1050 b,K02007.01
Kepler-1050 c,K02007.02
Kepler-1051 b,K02010.01
Kepler-1052 b,K02012.01
Kepler-1053 b,K02013.01
Kepler-1054 b,K02016.01
Kepler-1055 b,K02017.01
Kepler-1056 b,K02018.01
Kepler-1057 b,K02019.01
Kepler-1058 b,K02020.01
Kepler-1059 b,K02021.01
Kepler-106 b,K00116.03
Kepler-106 c,K00116.01
Kepler-106 d,K00116.04
Kepler-106 e,K00116.02
Kepler-1060 b,K02024.01
Kepler-1061 b,K02026.01
Kepler-1062 b,K02031.01
Kepler-1063 A b,K02032.01
Kepler-1064 b,K02033.01
Kepler-1065 b,K02034.01
Kepler-1065 c,K02034.02
Kepler-1066 b,K02035.01
Kepler-1067 b,K02039.02
Kepler-1068 b,K02044.01
Kepler-1069 b,K02046.01
Kepler-107 b,K00117.03
Kepler-107 c,K00117.02
Kepler-107 d,K00117.04
Kepler-107 e,K00117.01
Kepler-1070 b,K02047.01
Kepler-1071 b,K02048.01
Kepler-1072 b,K02049.01
Kepler-1073 b,K02055.01
Kepler-1073 c,K02055.02
Kepler-1074 b,K02057.01
Kepler-1075 b,K02058.01
Kepler-1076 b,K02059.01
Kepler-1077 b,K02062.01
Kepler-1078 b,K02063.01
